;A;A;A;A;A;A;SC;V;A;SC;V;A;A;SC;V;A;SC;V;A;A;A;A;A;SC;SC;V;A
;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LMJV;Me;LàV;LàV
Bussy RER – Quai D;5:01;5:31;5:51;6:11;6:31;6:51;7:11;7:11;7:25;7:34;7:34;7:50;8:05;8:15;8:15;8:25;8:40;8:40;9:10;9:35;10:10;10:35;11:10;11:35;11:35;11:35;12:00
Place du Clos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11:42;-;-
Mendès France;5:03;5:33;5:53;6:13;6:33;6:53;7:13;7:13;7:27;7:36;7:36;7:52;8:07;8:17;8:17;8:27;8:42;8:42;9:12;9:37;10:12;10:37;11:12;11:37;11:44;11:37;12:02
Parc d'Activités;5:06;5:36;5:56;6:16;6:36;6:56;7:16;7:16;7:30;7:39;7:39;7:55;8:10;8:20;8:20;8:30;8:45;8:45;9:15;9:40;10:15;10:40;11:15;11:40;11:47;11:40;12:05
Violaine;5:09;5:39;5:59;6:19;6:39;6:59;7:19;7:19;7:33;7:42;7:42;7:58;8:13;8:23;8:23;8:33;8:48;8:48;-;9:43;-;10:43;-;11:43;11:50;11:43;-
Parc du Bel-Air;5:10;5:40;6:00;6:20;6:40;7:00;7:20;7:20;7:34;7:43;7:43;7:59;8:14;8:24;8:24;8:34;8:49;8:49;-;9:44;-;10:44;-;11:44;11:51;11:44;-
Froëlicher;5:11;5:41;6:01;6:21;6:41;7:01;7:21;7:21;7:35;7:44;7:44;8:00;8:15;8:25;8:25;8:35;8:50;8:50;-;9:45;-;10:45;-;11:45;11:52;11:45;-
Cordier;5:12;5:42;6:02;6:22;6:42;7:02;7:22;7:22;7:36;7:45;7:45;8:01;8:16;8:26;8:26;8:36;8:51;8:51;-;9:46;-;10:46;-;11:46;11:53;11:46;-
Impératrice Eugénie;5:13;5:43;6:03;6:23;6:43;7:03;7:23;7:23;7:37;7:46;7:46;8:02;8:17;8:27;8:27;8:37;8:52;8:52;-;9:47;-;10:47;-;11:47;11:54;11:47;-
Roseraie;5:17;5:47;6:07;6:27;6:47;7:07;7:27;7:27;7:41;7:50;7:50;8:06;8:21;8:31;8:31;8:41;8:56;8:56;9:16;9:51;10:16;10:51;11:16;11:51;11:58;11:51;12:06
Place du Clos;5:18;5:48;6:08;6:28;6:48;7:08;7:28;7:28;7:42;7:51;7:51;8:07;8:22;8:32;8:32;8:42;8:57;8:57;9:17;9:52;10:17;10:52;11:17;11:52;11:59;11:52;12:07
Château;5:20;5:50;6:10;6:30;6:50;7:10;7:30;7:30;7:44;7:53;7:53;8:09;8:24;8:34;8:34;8:44;8:59;8:59;9:18;9:54;10:18;10:54;11:18;11:54;12:01;11:54;12:08
Paris;5:21;5:51;6:11;6:31;6:51;7:11;7:31;7:31;7:45;7:54;7:54;8:10;8:25;8:35;8:35;8:45;9:00;9:00;9:19;9:55;10:19;10:55;11:19;11:55;12:02;11:55;12:09
Marie Hélène;5:22;5:52;6:12;6:32;6:52;7:12;7:32;7:32;7:46;7:55;7:55;8:11;8:26;8:36;8:36;8:46;9:01;9:01;9:20;9:56;10:20;10:56;11:20;11:56;12:03;11:56;12:10
Moulin à Vent;5:23;5:53;6:13;6:33;6:53;7:13;7:33;7:33;7:47;7:56;7:56;8:12;8:27;8:37;8:37;8:47;9:02;9:02;9:21;9:57;10:21;10:57;11:21;11:57;12:04;11:57;12:11
Centre Commercial;5:24;5:54;6:14;6:34;6:54;7:14;7:34;7:34;7:48;7:57;7:57;8:13;8:28;8:38;8:38;8:48;9:03;9:03;9:22;9:58;10:22;10:58;11:22;11:58;12:05;11:58;12:12
Parc d'Activités;5:25;5:55;6:15;6:35;6:55;7:15;7:35;7:35;7:49;7:58;7:58;8:14;8:29;8:39;8:39;8:49;9:04;9:04;9:23;9:59;10:23;10:59;11:23;11:59;12:06;11:59;12:13
Mendès France;5:28;5:58;6:18;6:38;6:58;7:18;7:38;7:38;7:52;8:02;8:02;8:18;8:33;8:43;8:43;8:53;9:07;9:07;9:26;10:02;10:26;11:02;11:26;12:02;12:09;12:02;12:16
Place du Clos;-;-;-;-;-;-;-;-;-;8:06;-;-;-;-;-;-;9:11;-;-;-;-;-;-;-;-;-;-
Bussy RER – Dépose;5:32;6:02;6:22;6:42;7:02;7:22;7:42;7:42;7:56;8:12;8:06;8:22;8:37;8:47;8:47;8:57;9:17;9:11;9:30;10:06;10:30;11:06;11:30;12:06;12:13;12:06;12:20
Bussy RER – Quai D;-;-;-;-;-;-;07:43;-;-;-;-;-;-;08:48;-;-;-;-;-;-;-;-;-;-;-;-;-
Lycée MLK;-;-;-;-;-;-;07:48;-;-;-;-;-;-;08:53;-;-;-;-;-;-;-;-;-;-;-;-;-
