;SC;SC;SC;V;A;SC;A;A;A;SC;SC;V;A;A;SC;SC;V;SC;SC;V;SC;V;SC;SC;SC;V;A;A;A;SC;SC;V;A;A;A;A;A;A;A;A
;Me;LMJV;Me;LàV;LàV;Me;LàV;LàV;LàV;LMJV;Me;LàV;LàV;LàV;LMJV;Me;LàV;LMJV;Me;LàV;LMJV;LàV;Me;LMJV;Me;LàV;LàV;LàV;LàV;LMJV;Me;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV;LàV
Lycée MLK;12:10;-;-;-;-;13:09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17:10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bussy RER – Dépose;12:15;-;-;-;-;13:14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17:15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bussy RER – Quai B;12:16;12:30;12:30;12:30;13:00;13:15;13:33;14:00;14:33;15:00;15:00;15:00;15:36;15:56;16:16;16:16;16:16;16:35;16:35;16:35;17:00;17:00;17:00;17:16;17:16;17:16;17:32;17:47;18:02;18:17;18:17;18:17;18:32;18:47;19:02;19:22;19:42;20:02;20:42;21:22
Place du Clos;-;-;12:37;-;-;-;-;-;-;15:07;-;-;-;-;16:23;-;-;16:42;-;-;17:07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mendès France;12:18;12:32;12:39;12:32;13:02;13:17;13:35;14:02;14:35;15:09;15:02;15:02;15:38;15:58;16:25;16:18;16:18;16:44;16:37;16:37;17:09;17:02;17:02;17:18;17:18;17:18;17:34;17:49;18:04;18:19;18:19;18:19;18:34;18:49;19:04;19:24;19:44;20:04;20:44;21:24
Parc d'Activités;12:21;12:35;12:42;12:35;13:05;13:20;13:38;14:05;14:38;15:12;15:05;15:05;15:41;16:01;16:28;16:21;16:21;16:47;16:40;16:40;17:12;17:05;17:05;17:21;17:21;17:21;17:37;17:52;18:07;18:22;18:22;18:22;18:37;18:52;19:07;19:27;19:47;20:07;20:47;21:27
Centre Commercial;12:22;12:36;12:43;12:36;13:06;13:21;13:39;14:06;14:39;15:13;15:06;15:06;15:42;16:02;16:29;16:22;16:22;16:48;16:41;16:41;17:13;17:06;17:06;17:22;17:22;17:22;17:38;17:53;18:08;18:23;18:23;18:23;18:38;18:53;19:08;19:28;19:48;20:08;20:48;21:28
Moulin à Vent;12:24;12:38;12:45;12:38;13:08;13:23;13:41;14:08;14:41;15:15;15:08;15:08;15:44;16:04;16:31;16:24;16:24;16:50;16:43;16:43;17:15;17:08;17:08;17:24;17:24;17:24;17:40;17:55;18:10;18:25;18:25;18:25;18:40;18:55;19:10;19:30;19:50;20:10;20:50;21:30
Marie Hélène;12:25;12:39;12:46;12:39;13:09;13:24;13:42;14:09;14:42;15:16;15:09;15:09;15:45;16:05;16:32;16:25;16:25;16:51;16:44;16:44;17:16;17:09;17:09;17:25;17:25;17:25;17:41;17:56;18:11;18:26;18:26;18:26;18:41;18:56;19:11;19:31;19:51;20:11;20:51;21:31
