;A;A;A;A;SC;V;A;A;A;A;A;A;A;A;A
;S;S;S;S;S;S;S;S;S;S;S;S;D;D;D
Bussy RER – Quai B;06:27;06:57;07:27;07:57;08:27;08:57;09:27;09:57;10:27;10:57;11:27;11:57;07:30;09:30;12:00
Mendès France;06:29;06:59;07:29;07:59;08:29;08:59;09:29;09:59;10:29;10:59;11:29;11:59;07:32;09:32;12:02
Parc d'Activités;06:32;07:02;07:32;08:02;08:32;09:02;09:32;10:02;10:32;11:02;11:32;12:02;07:35;09:35;12:05
Roseraie;06:33;07:03;07:33;08:03;08:33;09:03;09:33;10:03;10:33;11:03;11:33;12:03;07:36;09:36;12:06
Place;06:34;07:04;07:34;08:04;08:34;09:04;09:34;10:04;10:34;11:04;11:34;12:04;07:37;09:37;12:07
Château;06:35;07:05;07:35;08:05;08:35;09:05;09:35;10:05;10:35;11:05;11:35;12:05;07:38;09:38;12:08
Paris;06:36;07:06;07:36;08:06;08:36;09:06;09:36;10:06;10:36;11:06;11:36;12:06;07:39;09:39;12:09
Marie Hélène;06:37;07:07;07:37;08:07;08:37;09:07;09:37;10:07;10:37;11:07;11:37;12:07;07:40;09:40;12:10
Moulin à Vent;06:38;07:08;07:38;08:08;08:38;09:08;09:38;10:08;10:38;11:08;11:38;12:08;07:41;09:41;12:11
Centre Commercial;06:39;07:09;07:39;08:09;08:39;09:09;09:39;10:09;10:39;11:09;11:39;12:09;07:42;09:42;12:12
Parc d'Activités;06:40;07:10;07:40;08:10;08:40;09:10;09:40;10:10;10:40;11:10;11:40;12:10;07:43;09:43;12:13
Mendès France;06:43;07:13;07:43;08:13;08:43;09:13;09:43;10:13;10:43;11:13;11:43;12:13;07:46;09:46;12:16
Bussy RER – Dépose;06:47;07:17;07:47;08:17;08:47;09:17;09:47;10:17;10:47;11:17;11:47;12:17;07:50;09:50;12:20
