;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;D;D;D;D
Bussy RER – Quai B;12:21;12:57;13:27;13:57;14:27;14:57;15:27;15:57;16:27;16:57;17:27;17:57;18:27;18:57;19:27;19:57;20:27;20:57;21:27;21:57;22:27;22:57;14:30;16:30;18:30;20:30
Mendès France;12:23;12:59;13:29;13:59;14:29;14:59;15:29;15:59;16:29;16:59;17:29;17:59;18:29;18:59;19:29;19:05;20:29;20:59;21:29;21:59;22:29;22:59;14:32;16:32;18:32;20:32
Parc d'Activités;12:26;13:02;13:32;14:02;14:32;15:02;15:32;16:02;16:32;17:02;17:32;18:02;18:32;19:02;19:32;20:00;20:32;21:02;21:32;22:02;22:32;23:02;14:35;16:35;18:35;20:35
Centre Commercial;12:27;13:03;13:33;14:03;14:33;15:03;15:33;16:03;16:33;17:03;17:33;18:03;18:33;19:03;19:33;20:03;20:33;21:03;21:33;22:03;22:33;23:03;14:36;16:36;18:36;20:36
Moulin à Vent;12:29;13:05;13:35;14:05;14:35;15:05;15:35;16:05;16:35;17:05;17:35;18:05;18:35;19:05;19:35;20:05;20:35;21:05;21:35;22:05;22:35;23:05;14:38;16:38;18:38;20:38
Marie Hélène;12:30;13:06;13:36;14:06;14:36;15:06;15:36;16:06;16:36;17:06;17:36;18:06;18:36;19:06;19:36;20:06;20:36;21:06;21:36;22:06;22:36;23:06;14:39;16:39;18:39;20:39
Roseraie;12:32;13:08;13:38;14:08;14:38;15:08;15:38;16:08;16:38;17:08;17:38;18:08;18:38;19:08;19:38;20:08;20:38;21:08;21:38;22:08;22:38;23:08;14:41;16:41;18:41;20:41
Place;12:33;13:09;13:39;14:09;14:39;15:09;15:39;16:09;16:39;17:09;17:39;18:09;18:39;19:09;19:39;20:09;20:39;21:09;21:39;22:09;22:39;23:09;14:42;16:42;18:42;20:42
Château;12:34;13:10;13:40;14:10;14:40;15:10;15:40;16:10;16:40;17:10;17:40;18:10;18:40;19:10;19:40;20:10;20:40;21:10;21:40;22:10;22:40;23:10;14:43;16:43;18:43;20:43
Parc d'Activités;12:35;13:11;13:41;14:11;14:41;15:11;15:41;16:11;16:41;17:11;17:41;18:11;18:41;19:11;19:41;20:11;20:41;21:11;21:41;22:11;22:41;23:11;14:44;16:44;18:44;20:44
Mendès France;12:38;13:14;13:44;14:14;14:44;15:14;15:44;16:14;16:44;17:14;17:44;18:14;18:44;19:14;19:44;20:14;20:44;21:14;21:44;22:14;22:44;23:14;14:47;16:47;18:47;20:47
Bussy RER – Dépose;12:42;13:18;13:48;14:18;14:48;15:18;15:48;16:18;16:48;17:18;17:48;18:18;18:48;19:18;19:48;20:18;20:48;21:18;21:48;22:18;22:48;23:18;14:51;16:51;18:51;20:51
